台湾直播,#genre#
TaiwanPlus,https://www.youtube.com/watch?v=Vrs-AeKZIEg
Tvbs選新聞,https://www.youtube.com/watch?v=o_-hSMgpAzs
Tvbs新聞台,https://www.youtube.com/watch?v=2mCSYvcfhtc
Tvbs網路台,https://www.youtube.com/watch?v=m_dhMSvUCIc
Tvbs優選台,https://www.youtube.com/watch?v=WAUECPu9EOw
寰宇新聞台,https://www.youtube.com/watch?v=6IquAgfvYmc
寰宇新聞二,https://www.youtube.com/watch?v=Ej3LQM_lTEw
寰宇台湾台,https://www.youtube.com/watch?v=w87VGpgd90U
寰宇財經台,https://www.youtube.com/watch?v=yAUQQ0DhPxI
中天新聞台,https://www.youtube.com/watch?v=vr3XyVCR4T0
東森新聞台,https://www.youtube.com/watch?v=V1p33hqPrUk
東森直播台,https://www.youtube.com/watch?v=E0zhe2gkXBs
東森財經台,https://www.youtube.com/watch?v=1I2iq41Akmo
東森財經台,https://www.youtube.com/watch?v=AEBeWMM1atA
東森綜合台,https://www.youtube.com/watch?v=cimbpAZUjzw
三立新聞台,https://www.youtube.com/watch?v=pF507BLtbqU
三立海外台,https://www.youtube.com/watch?v=hGJkDZDchYI
公視新聞台,https://www.youtube.com/watch?v=quwqlazU-c8
民視新聞台,https://www.youtube.com/watch?v=ylYJSBUgaMA
華視新聞台,https://www.youtube.com/watch?v=wM0g8EoUZ_E
中視新聞台,https://www.youtube.com/watch?v=TCnaIE_SAtM
非凡新聞台,https://www.youtube.com/watch?v=wAUx3pywTt8
鏡電視新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o
倪珍播新聞,https://www.youtube.com/watch?v=RRybv1kEnCU
鳳凰資訊台,https://www.youtube.com/watch?v=fN9uYWCjQaw
亞洲新聞台,https://www.youtube.com/watch?v=XWq5kBlakcQ
半島新聞台,https://www.youtube.com/watch?v=gCNeDWCI0vo
新唐人亞太,https://www.youtube.com/watch?v=Bhp_V7H5QoY
新傳媒娛樂,https://www.youtube.com/watch?v=ipqTkEH3mhE
台灣大搜索,https://www.youtube.com/watch?v=Q0jusAya5s4
經典綜藝台,https://www.youtube.com/watch?v=ADDSmXoPDY8
信大電視台,https://www.youtube.com/watch?v=3MakY86sYn8
大陸尋奇台,https://www.youtube.com/watch?v=LqXVZ_hK3Xs
大愛電視台,https://www.youtube.com/watch?v=MIqUplvSRWA
大愛電視二,https://www.youtube.com/watch?v=QDxRJP-wfeI
太阳马戏团,https://www.youtube.com/watch?v=swgouFE-5e4

海外直播,#genre#
SEA POP,https://www.youtube.com/watch?v=RjZr3ksn_F8
SEA POP,https://www.youtube.com/watch?v=mHfL7Fl3XW8
DuaLipa,https://www.youtube.com/watch?v=Gt43Zqf3s0U
TheKPOP,https://www.youtube.com/watch?v=JVocS7Yftw8
SunWave,https://www.youtube.com/watch?v=RVk6c_SjOm8
AlanWalker,https://www.youtube.com/watch?v=9l63T77YL2c
RelaxingNature,https://www.youtube.com/watch?v=vdeJ3QY6w6g
DiscoveryRelaxation,https://www.youtube.com/watch?v=6iQCt1X8jZU


BBC Earth,https://www.youtube.com/watch?v=1LhlXiSc5NY
BBC Earth Science,https://www.youtube.com/watch?v=KGZtDK8hZ60

Discovery,https://www.youtube.com/watch?v=OnI-uUxJZuE
Discovery,https://www.youtube.com/watch?v=ohKj2ma9mfM

Love Nature,https://www.youtube.com/watch?v=Zns4k_dICzs
Love Nature,https://www.youtube.com/watch?v=QhahoVG0BfI

Earth Planet,https://www.youtube.com/watch?v=sYod9dCf5Cw
Earth Planet,https://www.youtube.com/watch?v=QXeCPubARfo

Nat Geo Kids,https://www.youtube.com/watch?v=q5xC6wv9Ut0
Nat Geo Kids,https://www.youtube.com/watch?v=H-h657jXQyA

Nat Geo Animals,https://www.youtube.com/watch?v=J4IYwyEUwrI
Nat Geo Animals,https://www.youtube.com/watch?v=MiQe9ob9aDc

National Geographic,https://www.youtube.com/watch?v=eVty8-fUGJY
National Geographic,https://www.youtube.com/watch?v=lJOROUvD8sU

Love Nature Predators,https://www.youtube.com/watch?v=YRIkyaX2in0
Love Nature Predators,https://www.youtube.com/watch?v=7ByKk5NPsRw

Ultimate Nature Documentaries,https://www.youtube.com/watch?v=i6DH-eLlLjo
Ultimate Nature Documentaries,https://www.youtube.com/watch?v=JVXC4DrH6PA









